Energy_Use_kWh,Height,Year_Built,Longitude,Latitude,Name,Area_m,Occupants,apartments,parking,stadium,university,utility,warehouse,Building_Length_m,Orientation (degrees north) ,Relative Compactness,Tree_Canopy,Land_Surface_Temp
57600,9.79,1969,-122.3042947,47.65214025,Roberts Annex,156.07704,8.396944752,0,0,0,1,0,0,56,164,0.36,16,26.61487451
497000,18.32,1983,-122.3149308,47.65246463,Marine Studies,2906.93487,156.393096,0,0,0,1,0,0,199,179,0.07,18,25.98714996
7670,20.26,1909,-122.3110771,47.6572237,Cunningham Hall,474.176912,25.51071787,0,0,0,1,0,0,72,89,0.15,47,25.01114988
10100,14.58,1918,-122.300069,47.64778905,Canoe House,1232.544101,66.31087263,0,0,0,1,0,0,132,15,0.11,3,21.68802655
10400,20.18,1977,-122.299837,47.64855281,Waterfront Activities Center,1942.044312,104.481984,0,0,0,1,0,0,198,50,0.1,10,29.36395951
67500,11.49,1946,-122.3048461,47.65167813,Wilson Ceramics Lab,456.060827,24.53607249,0,0,0,1,0,0,69,46,0.15,21,25.56041534
2930,23.6,1917,-122.3054389,47.65417844,Aerodynamics Laboratory,173.821513,9.351597399,0,0,0,1,0,0,71,178,0.41,36,26.93829171
2480000,11.36,1948,-122.3028977,47.65911249,NPL Cyclotron Shop,642.331342,34.5574262,0,0,0,1,0,0,112,176,0.17,25,25.55616871
820000,28.62,1990,-122.300077,47.6518378,Nordstrom Tennis,4778.837417,257.101453,0,0,0,1,0,0,280,166,0.06,0,32.30085436
593000,18.32,1990,-122.3155434,47.65253418,Fisheries Teaching and Research Building,3231.909564,173.8767345,0,0,0,1,0,0,174,89,0.05,0,24.16720967
310000,18.66,2012,-122.3148195,47.65508181,Samuel E. Kelly Ethnic Cultural Center,2781.051305,149.6205602,0,0,0,1,0,0,148,179,0.05,0,26.95569253
96800,23.55,1932,-122.3106153,47.64911426,Oceanography Building,2328.706598,125.284415,0,0,0,1,0,0,118,47,0.05,0,24.72714349
210000,14.49,1963,-122.3069097,47.65145718,Winkenwerder Forest Sciences Lab,2436.938593,131.1072963,0,0,0,1,0,0,155,25,0.06,57,25.59283474
107000,21.95,1916,-122.3072615,47.65791267,Raitt Hall,4473.093644,240.652438,0,0,0,1,0,0,186,135,0.04,3,25.37563511
502000,27.32,1950,-122.3057991,47.65766872,Music Building,6826.698246,367.2763656,0,0,0,1,0,0,226,132,0.03,13,24.65412216
218000,12.96,1929,-122.3037941,47.65428059,Plant Operations Building,848.297293,45.63839436,0,0,0,1,0,0,62,179,0.07,0,27.83026546
2620,23.93,1896,-122.3048906,47.65763537,Clark Hall,2839.858904,152.784409,0,0,0,1,0,0,158,164,0.06,19,24.66655132
3060000,34.13,1928,-122.3021628,47.65212119,Hec Edmundson Pavilion,19180.10306,1031.889545,0,0,0,1,0,0,552,166,0.03,0,29.89417987
566000,15,2016,-122.3126175,47.65441585,UW Police Department,2722.0579,146.446715,0,0,0,1,0,0,136,89,0.05,0,28.94995184
186000,14.8,1963,-122.3022903,47.65305725,Graves Hall,2723.265639,146.5116914,0,0,0,1,0,0,160,168,0.06,11,28.88643364
132000,20.74,1920,-122.311447,47.64999275,Harris Hydraulics,2130.544499,114.623294,0,0,0,1,0,0,154,137,0.07,16,26.64478219
714000,20.86,1996,-122.3136043,47.65294484,Portage Bay Parking Facility (University Transportation Center),32193.8624,0,0,1,0,0,0,0,440,180,0.01,0,25.49495508
246000,25.24,1925,-122.3076005,47.65174901,Anderson Hall,3116.245329,167.6539987,0,0,0,1,0,0,150,94,0.05,20,25.06645966
1330000,24.11,1917,-122.3083667,47.65713135,Savery Hall,9485.860815,510.3393118,0,0,0,1,0,0,312,135,0.03,14,26.18135564
888000,27.13,1895,-122.3089068,47.6584185,Denny Hall,8337.579735,448.5617897,0,0,0,1,0,0,248,135,0.03,31,24.02427429
